scheme_name,scheme_url
"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana",https://www.myscheme.gov.in/schemes/asekkmbmtsny
Akhil Bharatiya Civil Services Pratiyogita,https://www.myscheme.gov.in/schemes/abcsp
All Goa One-Act Play Competition in Konkani,https://www.myscheme.gov.in/schemes/agoapck
Ambubhai Purani Award,https://www.myscheme.gov.in/schemes/apyg
Appointment of Contract Sports Coaches,https://www.myscheme.gov.in/schemes/ckpkn
Art Exhibition Assistance in the State,https://www.myscheme.gov.in/schemes/aeaits
Artist Honor (Gaurav Award),https://www.myscheme.gov.in/schemes/asgp
Assistance for Exhibitions Abroad and Out of State,https://www.myscheme.gov.in/schemes/aeaos
Assistance for Purchase of Spectacles - Folk Artists,https://www.myscheme.gov.in/schemes/apsfa
Assistance for Purchase of Traditional Musical Instruments and Costumes for Scheduled Caste/Tribe Individuals,https://www.myscheme.gov.in/schemes/aptmicsct
Assistance to Trusts/Institutions for Setting Up Cultural Centers/Auditoriums in the Municipal Area,https://www.myscheme.gov.in/schemes/attisca
Assistance to Women for Trainer and Coaches Training Course,https://www.myscheme.gov.in/schemes/atwtctc
Award of Fellowship to Most Eminent Artist,https://www.myscheme.gov.in/schemes/aoftmea
Award of Puduvai Kalaimamani,https://www.myscheme.gov.in/schemes/aopk
Award Of Scholarships To Young Artists In Different Cultural Fields,https://www.myscheme.gov.in/schemes/asyadcf
Award Winning Tiatr Festival,https://www.myscheme.gov.in/schemes/awtf
"Awarding of Tamil Mamani, Telugu Ratna and Malayala Ratna",https://www.myscheme.gov.in/schemes/atmtrmr
Best Book Award,https://www.myscheme.gov.in/schemes/bba
Bhajan Pakhawaj Workshops,https://www.myscheme.gov.in/schemes/bpw
Biju Patnaik Sports Award for Best Contribution to promotion of Sports and Games,https://www.myscheme.gov.in/schemes/bpsabcpsg
Biju Patnaik Sports Award for Excellence in Coaching,https://www.myscheme.gov.in/schemes/bpsaec
Biju Patnaik Sports Award for Excellence in Sports Journalism,https://www.myscheme.gov.in/schemes/bpsaesj
Biju Patnaik Sports Award for Lifetime Achievement in Promotion of Sports & Games,https://www.myscheme.gov.in/schemes/bpsalapsg
Biju Patnaik Sports Award for Outstanding Performance in Sports and Games for the Year,https://www.myscheme.gov.in/schemes/bpsaopsgy
Bima Yojana - Direct Benefit to Artisan,https://www.myscheme.gov.in/schemes/bydbta
Cash Amount for Encouraging Scheduled Tribe Sportsperson Students,https://www.myscheme.gov.in/schemes/cifestss
Cash Award to Women Players of the State,https://www.myscheme.gov.in/schemes/cawpf
Cash Incentive Award to Bonafede Meritorious Sportspersons,https://www.myscheme.gov.in/schemes/cia
Cash Prize to Players and their Coaches for Winning Medals in National and International Competitions,https://www.myscheme.gov.in/schemes/cpmpcwmnic
Chetan Chauhan Labor Sports Promotion Scheme,https://www.myscheme.gov.in/schemes/ccskpy
Chief Ministergi Artistesinggi Tengbang (CMAT) - Scheme For Award To Distinguished Artistes,https://www.myscheme.gov.in/schemes/cmat-sada
Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension,https://www.myscheme.gov.in/schemes/cmat-ap
Chief Ministergi Artistesinggi Tengbang (CMAT) – Scheme Of Festival Assistance For Participating In International & National Festival,https://www.myscheme.gov.in/schemes/cmst-sfapinf
Chief Ministergi Artistesinggi Tengbang (CMAT): Support For Purchase Of Instruments / Equipment,https://www.myscheme.gov.in/schemes/cmat-spie
Chief Ministergi Artistessingi Tengbang - Assistance To The Cultural Group For Training With New Production,https://www.myscheme.gov.in/schemes/cmst-acgtnp
Children's Tiatr Competition,https://www.myscheme.gov.in/schemes/ctc-g
Commemoration of Jubilees/Birth Anniversaries of Tiatr Artistes of Yesteryears,https://www.myscheme.gov.in/schemes/cjbatay
Competition of Zomnivoilo Khell,https://www.myscheme.gov.in/schemes/czk
Concession in Railway Travel,https://www.myscheme.gov.in/schemes/iocfortc
"Construction of Sports Infrastructure Facilities (Badminton, Table Tennis, Squash, Indoor Cricket, Basketball, Volleyball, Football, Hockey, and Swimming) in Private Sector",https://www.myscheme.gov.in/schemes/gfcosi
Cultural Function And Production Grant Scheme,https://www.myscheme.gov.in/schemes/cfpgs
D. D. Kosambi Research Fellowship Scheme,https://www.myscheme.gov.in/schemes/ddkfs
District Level Sports School,https://www.myscheme.gov.in/schemes/dlssg
Divisional Tripartite Competition,https://www.myscheme.gov.in/schemes/dtc
Documentation And Research Assistantship Scheme,https://www.myscheme.gov.in/schemes/daris
Documentation of Tiatr through Research Work,https://www.myscheme.gov.in/schemes/dttrw
Education Assistance - Folk Artist,https://www.myscheme.gov.in/schemes/eafa
"Exhibition of Books on Tiatr, Its Song and Music",https://www.myscheme.gov.in/schemes/ebtsm
Film Finance Scheme,https://www.myscheme.gov.in/schemes/fss
Financial Assistance and Grants to Sports Associations/ Clubs/ Sports Committees of Uttarakhand,https://www.myscheme.gov.in/schemes/fasaccu
Financial Assistance For Allied Cultural Activities,https://www.myscheme.gov.in/schemes/faaca
Financial Assistance For Cultural Activities In Performing Arts For Building Grants Including Studio Theatres,https://www.myscheme.gov.in/schemes/facapabgist
Financial Assistance For Development Of Buddhist/Tibetan Arts And Culture,https://www.myscheme.gov.in/schemes/fadbtac
Financial Assistance for encouraging production of Traditional Khell-Tiatr,https://www.myscheme.gov.in/schemes/faeptkt
Financial Assistance for Encouraging Worker's Children's Participation in Cultural Activities- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/faewcpca-hlwb
Financial Assistance for Encouraging Worker's Children's Participation in Sports Activities- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/faewcpsa-hlwb
"Financial Assistance for Preparation of Training Camp and Participation in Land, Mountain & Sea Adventure Sports Competitions",https://www.myscheme.gov.in/schemes/faptlmsc
Financial Assistance For Promotion Of Guru-Shishya Parampara (Repertory Grant),https://www.myscheme.gov.in/schemes/fapgsprg
Financial Assistance for Scaling Mount Everest and Other Inaccessible Mountains of the World,https://www.myscheme.gov.in/schemes/fasmeimw
Financial Assistance to Authors for Book Publication,https://www.myscheme.gov.in/schemes/fatafbp
Financial Assistance to Commercial Tiatr Troupes/Directors/Producers for Stage Setting,https://www.myscheme.gov.in/schemes/facttdpss
Financial Assistance To Cultural Organizations With National Presence,https://www.myscheme.gov.in/schemes/faconp
Financial Assistance to Dramatic Troupes participating in Kala Academy’s Annual Tiatr Competition,https://www.myscheme.gov.in/schemes/fadtpkaatc
Financial Assistance to Former Sports Person of UP,https://www.myscheme.gov.in/schemes/fafspup
Financial Assistance to Helpless Artists,https://www.myscheme.gov.in/schemes/fatha
Financial Assistance to Indigent Artistes,https://www.myscheme.gov.in/schemes/fatia
"Financial Assistance to Revive, Preserve and Protect Goan Maand Culture",https://www.myscheme.gov.in/schemes/farppgmc
"Financial Assistance to Sportspersons to Pursue Sports Coaching Courses Conducted by SAI, NSNIS, Patiala as a Part of Skill Development Programme to Improve their Employability",https://www.myscheme.gov.in/schemes/faspscccsnppsdppie
Financial Assistance to Troupes Going to Mumbai/Poona and Other Parts of the Country & Vice Versa,https://www.myscheme.gov.in/schemes/fatgmpopcvv
Financial Assistance/Pension to Former Renowned Sportspersons,https://www.myscheme.gov.in/schemes/fapfrs
