scheme_name,scheme_url
100% Penalty Mafi Yojana,https://www.myscheme.gov.in/schemes/1pmy
Atal Graha Jyoti Yojana,https://www.myscheme.gov.in/schemes/agjy
Atal Kisan Jyoti Yojana,https://www.myscheme.gov.in/schemes/akjy
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut
Atal Shresth Shahar Yojna,https://www.myscheme.gov.in/schemes/assy
Bal Sakha Yojana,https://www.myscheme.gov.in/schemes/bsy
Burial Ground-Provision of Burial Grounds and Pathway to Burial Grounds,https://www.myscheme.gov.in/schemes/bgpbg
Chief Minister’s Solar Rooftop Capital Incentive Scheme,https://www.myscheme.gov.in/schemes/cmsrcis
Deendayal Upadhyay Gram Jyoti Yojana,https://www.myscheme.gov.in/schemes/dugjy
District Innovation And Challenge Fund,https://www.myscheme.gov.in/schemes/dicf
Free Electricity Supply Scheme,https://www.myscheme.gov.in/schemes/fess
Galvanizing Organic Bio-Agro Resources Dhan (GOBARdhan),https://www.myscheme.gov.in/schemes/gobardhan
Generator Subsidy,https://www.myscheme.gov.in/schemes/gs-tn
Goa State Logistics and Warehousing Incentives Scheme: Subsidy on Electricity Duty,https://www.myscheme.gov.in/schemes/gslwis-sed
Grant of Mahatma Gandhi Memorial Award for Clean Houses,https://www.myscheme.gov.in/schemes/gmgmach
"Grant-in-Aid to Non-governmental Organisations Running Residential Homes for the Children, Aged, and Vulnerable Persons Under Social Defence",https://www.myscheme.gov.in/schemes/giatngorhcavpusd
GST Exemption Certificate Scheme,https://www.myscheme.gov.in/schemes/gstecs
Hand Pump Yojana,https://www.myscheme.gov.in/schemes/hpy
Himachal Pradesh Maharishi Valmiki Sampoorn Swachata Puraskar (state Sanitation Reward Scheme),https://www.myscheme.gov.in/schemes/hpmvssp
Incentive Scheme For The Electricity Consumers Under Various Categories In Andaman & Nicobar Islands,https://www.myscheme.gov.in/schemes/isecvcani
"Information, Monitoring, Evaluation and Social Audit (I-MESA): Central Smart Surveillance Unit (CSSU)",https://www.myscheme.gov.in/schemes/i-mesa-cssu
Jal Jeevan Mission,https://www.myscheme.gov.in/schemes/jjm
Jal Jeevan Mission (Har Ghar Jal Yojana) - Uttarakhand,https://www.myscheme.gov.in/schemes/jjmhgjyuk
Kisan Suryoday Yojana (KSY),https://www.myscheme.gov.in/schemes/ksyg
Kutirjyoti Yojana Gujarat,https://www.myscheme.gov.in/schemes/kyg
Loan based Scheme for Pay and Use Community Toilets,https://www.myscheme.gov.in/schemes/lbssk-spuct
Loan Based Schemes For Safai Karamchari - General Term Loan (GTL),https://www.myscheme.gov.in/schemes/lbssf-gtl
Loan Based Schemes For Safai Karamchari - Sanitary Marts Scheme,https://www.myscheme.gov.in/schemes/lbssk-sms
Loan Based Schemes For Safai Karamchari - Swachhta Udyami Yojana – Swachhta Se Sampannta Ki Aur,https://www.myscheme.gov.in/schemes/lbssk-suy
Low Tension Power Tariff (LTPT) Subsidy,https://www.myscheme.gov.in/schemes/ltpts
Mukhya Mantri Grihini Suvidha Yojana,https://www.myscheme.gov.in/schemes/mmgsy
Mukhyamantri Bijli Bill Bakaya Maaf Samadhan Scheme,https://www.myscheme.gov.in/schemes/mbbbmss
Mukhyamantri Gramin Peyjal Nishchay Yojana,https://www.myscheme.gov.in/schemes/mgpny
Mukhyamantri Krishak Mitra Yojana,https://www.myscheme.gov.in/schemes/mkmy
"National Action for Mechanised Sanitation Ecosystem (NAMASTE) - ""Emergency Response Sanitation Unit (ERSU) Formation and Functionalisation""",https://www.myscheme.gov.in/schemes/namaste-ersufaf
One Time Settlement (O.T.S.) Scheme,https://www.myscheme.gov.in/schemes/otss
Own Transformer Scheme,https://www.myscheme.gov.in/schemes/ots
PM Janjati Adivasi Nyaya Maha Abhiyan (PM JANMAN),https://www.myscheme.gov.in/schemes/pm-janman
Power Subsidy Scheme,https://www.myscheme.gov.in/schemes/pss-goa
Pradhan Mantri Awas Yojana - Urban,https://www.myscheme.gov.in/schemes/pmay-u
Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan Scheme For Farmers.,https://www.myscheme.gov.in/schemes/pm-kusum
Pradhan Mantri Matru Vandana Yojana,https://www.myscheme.gov.in/schemes/pmmvy
Pradhan Mantri Ujjwala Yojana,https://www.myscheme.gov.in/schemes/pmuy
Pratyaksh Hanstantrit Labh / Direct Benefits Transfer For LPG,https://www.myscheme.gov.in/schemes/pahal-dbtl
Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana ​,https://www.myscheme.gov.in/schemes/skhausy
