scheme_name,scheme_url
"""Assistance for Energy and Water Conservation"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aewc-mesifai-vi
"""Assistance for Intellectual Property Protection Support"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/aipps-mesifai-vi
"""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/ata-mesifa-cii
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cis5aciskr-mesifai
"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisitites-mesifai
"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/cisphpes-mesifai
"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",https://www.myscheme.gov.in/schemes/cisscstwe-mesifai
"""Conducting of Exhibitions"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/cecdcs
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/ei-mesifai-vi
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/ei-mesifai
"""Entrepreneureship Development Programme (EDP)"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/edpedp
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/edp-dc
"""Exhibition"" Component of the ""Development Of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ecdhs
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",https://www.myscheme.gov.in/schemes/gs-mesifai-vi
"""Generator Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/gs-mesifai
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-dc
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gmmacl-ds
"""Grant to Coir Cluster/Societies/Agency"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gccsa-dc
"""Grant To Handicrafts Societies"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ghs-pudu
"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gssa-ds
"""Grant to Subsidy for Raw Materials Procurement"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/gsrmp-dc
