scheme_name,scheme_url
"108, Emergency Ambulance Service - Uttarakhand",https://www.myscheme.gov.in/schemes/108easuk
Aama Kuni Pilaa,https://www.myscheme.gov.in/schemes/akpod
Aastha Yojana,https://www.myscheme.gov.in/schemes/asr
Accident Assistance (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/kaabocwwb
AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,https://www.myscheme.gov.in/schemes/affdf-serious-disease-treatment
Andaman & Nicobar Islands Scheme for Health Insurance,https://www.myscheme.gov.in/schemes/anishi
Annual Medical Assistance Scheme (BBOCWWB),https://www.myscheme.gov.in/schemes/amapbbocwwb
Aravanaippu Illam,https://www.myscheme.gov.in/schemes/aillam
Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,https://www.myscheme.gov.in/schemes/akmeds
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,https://www.myscheme.gov.in/schemes/akgbcsy
Asangathit Karmakar Prasuti Sahayata Yojana,https://www.myscheme.gov.in/schemes/akpsy
Assam Arogya Nidhi Scheme,https://www.myscheme.gov.in/schemes/aan
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,https://www.myscheme.gov.in/schemes/admptpfdap
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/amakcbkassistance-for-major-ailments-karmika-chikitsa-bhagya-kbocwwb
Assistance For Purchase of Aids/Appliances,https://www.myscheme.gov.in/schemes/afpoaa
Assistance Scheme for Occupational Diseases (GBOCWWB),https://www.myscheme.gov.in/schemes/asodgbocwwb
Aswasakiranam,https://www.myscheme.gov.in/schemes/ak
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut
Atal Sneh Yojana,https://www.myscheme.gov.in/schemes/asyg
AVYAY - National Action Plan for Senior Citizens: Health and Shelter for Senior Citizens,https://www.myscheme.gov.in/schemes/avyay-napsc-hssc
"Awareness Programme on Child/Human Trafficking, Family Planning, Legal Awareness, Health etc.",https://www.myscheme.gov.in/schemes/apchtfplahe
Ayurswasthya Yojana: AYUSH and Public Health,https://www.myscheme.gov.in/schemes/asyaph
Ayurswasthya Yojana: AYUSH for Sports Medicine,https://www.myscheme.gov.in/schemes/asyasm
Ayurswasthya Yojana: Up-gradation of Facilities to Centre of Excellence (CoE),https://www.myscheme.gov.in/schemes/asycoe
AYUSH Health and Wellness Centre - Ayushman Bharat Yojana,https://www.myscheme.gov.in/schemes/ahwc
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,https://www.myscheme.gov.in/schemes/ab-pmjay
Bal Sakha Yojana,https://www.myscheme.gov.in/schemes/bsy
Bal Shakti Yojana,https://www.myscheme.gov.in/schemes/bsymp
Bal Swasthya Karyakram - Uttarakhand,https://www.myscheme.gov.in/schemes/chpuk
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,https://www.myscheme.gov.in/schemes/bsakad
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,https://www.myscheme.gov.in/schemes/bsakai
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,https://www.myscheme.gov.in/schemes/bsakmaid
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,https://www.myscheme.gov.in/schemes/bsakppd
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,https://www.myscheme.gov.in/schemes/bsaktpd
Biju Swasthya Kalyan Yojana,https://www.myscheme.gov.in/schemes/bsky-chcsgh
Cancer Day Care Centre - Uttarakhand,https://www.myscheme.gov.in/schemes/cdccuk
Cancer Suraksha Scheme,https://www.myscheme.gov.in/schemes/css
Chief Minister Arogya Arunachal Yojana,https://www.myscheme.gov.in/schemes/cmaay
Chief Minister's Comprehensive Health Insurance Scheme,https://www.myscheme.gov.in/schemes/cmchis
Chief Minister’s Free Cancer Chemotherapy Scheme,https://www.myscheme.gov.in/schemes/cmfccs
Chief Minister’s Free Diagnostic Services,https://www.myscheme.gov.in/schemes/cmfds
Chief Minister’s Health Insurance Scheme - Nagaland,https://www.myscheme.gov.in/schemes/cmhisn
Chikitsa Pratipoorti Yojana,https://www.myscheme.gov.in/schemes/cpy
Chikitsa Sahayata Yojana,https://www.myscheme.gov.in/schemes/csy
Children With Special Needs Under Goa Sarva Shiksha Abhivan,https://www.myscheme.gov.in/schemes/cwsn
Compensation for Human Death or Injury Caused by Wild Animals,https://www.myscheme.gov.in/schemes/chdicbwa
Compensation for Livestock Loss Caused by Wild Animals,https://www.myscheme.gov.in/schemes/cfllcbwa
Dai Didi Mobile Clinic Scheme,https://www.myscheme.gov.in/schemes/ddmcs
Day Care - cum - Recreation Centre and Physiotherapy Unit,https://www.myscheme.gov.in/schemes/dccrcpu-giapsca
Deen Dayal Swasthya Seva Yojana,https://www.myscheme.gov.in/schemes/ddssy
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),https://www.myscheme.gov.in/schemes/dayalu
Deendayal Antyodaya Upchar Yojana,https://www.myscheme.gov.in/schemes/ddauy
Delhi Arogya Kosh,https://www.myscheme.gov.in/schemes/dak
Delhi Arogya Nidhi,https://www.myscheme.gov.in/schemes/dan
Dental Care Scheme- Haryana Labour Welfare Board,https://www.myscheme.gov.in/schemes/dcs-hlwb
"Denture, Spectacles & Hearing Aid Scheme (P.B.O.C.W.W.B)",https://www.myscheme.gov.in/schemes/dshaspbocwwb
Dhanvantari Arogya Rath Yojana (GBOCWWB),https://www.myscheme.gov.in/schemes/darygbocwwb
Disability Pension (HPBOCWWB),https://www.myscheme.gov.in/schemes/dphpbocwwb
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/dpaexgkbocwwb
Distress Relief Fund For The Differently Abled (Medical Treatment),https://www.myscheme.gov.in/schemes/drfdamt
Distribution of Female Menstrual Hygiene Kit for the Construction Workers,https://www.myscheme.gov.in/schemes/dfmkftcw
District Central Cooperative Banks and through its Branches: For Maternity Loan through Self Help Groups,https://www.myscheme.gov.in/schemes/dccbfml
Divyangjan Scholarship Scheme,https://www.myscheme.gov.in/schemes/dssmp
Doodh Sanjeevani Yojana,https://www.myscheme.gov.in/schemes/dsy-g
Doodh Sanjivani Scheme,https://www.myscheme.gov.in/schemes/dssg
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),https://www.myscheme.gov.in/schemes/amas-haryana
Dulari Scheme,https://www.myscheme.gov.in/schemes/ds-aandn
Durghatana Mein Chikitsa Sahaayata Yojana,https://www.myscheme.gov.in/schemes/dmcsy
Employee Health Scheme,https://www.myscheme.gov.in/schemes/ehsap
Family Planning Indemnity Scheme,https://www.myscheme.gov.in/schemes/fpis
Financial Assistance for ANM/GNM/Technical Courses,https://www.myscheme.gov.in/schemes/faanmgnmtc
Financial Assistance for Medical (JKBOCWWB),https://www.myscheme.gov.in/schemes/fafmjkbocwwb
Financial Assistance for Medical Treatment of Journalists,https://www.myscheme.gov.in/schemes/famtj
Financial Assistance for Miscarriage for the Construction Workers,https://www.myscheme.gov.in/schemes/famcw
Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),https://www.myscheme.gov.in/schemes/affdf
"Financial Assistance for the Treatment of Blind, Disabled, Deaf, Dumb, or Mentally Challenged Ex-Servicemen and their Dependents (Wife and Children)",https://www.myscheme.gov.in/schemes/faafbdmmresf
