scheme_name,scheme_url,section_no
VAIshwik BHArtiya Vaigyanik (VAIBHAV) Fellowship,https://www.myscheme.gov.in/schemes/vaibhav,8
Training for Horticulture Skill Development for Self-Employment at Centre of Excellence,https://www.myscheme.gov.in/schemes/thsdse,9
Grant For Oru Kala Pooja,https://www.myscheme.gov.in/schemes/gokp,13
"Grant of Financial Incentives for Hotels, Resorts, and Tourism Projects",https://www.myscheme.gov.in/schemes/gfihrtp,13
Haj Pilgrimage to Saudi Arabia,https://www.myscheme.gov.in/schemes/hpsa,13
High Altitude Guide Course,https://www.myscheme.gov.in/schemes/highaltitudeuk,13
Loan Based Schemes For Safai Karamchari - General Term Loan (GTL),https://www.myscheme.gov.in/schemes/lbssf-gtl,14
Delhi Arogya Kosh,https://www.myscheme.gov.in/schemes/dak,15
"Financial Assistance for the Treatment of Blind, Disabled, Deaf, Dumb, or Mentally Challenged Ex-Servicemen and their Dependents (Wife and Children)",https://www.myscheme.gov.in/schemes/faafbdmmresf,15
"Chief Minister’s Free Diagnostic Services",https://www.myscheme.gov.in/schemes/cmfds,15
"Bal Swasthya Karyakram - Uttarakhand",https://www.myscheme.gov.in/schemes/chpuk,15
"Assistance Scheme for Occupational Diseases (GBOCWWB)",https://www.myscheme.gov.in/schemes/asodgbocwwb,15
"Goa Mediclaim Scheme",https://www.myscheme.gov.in/schemes/gms,15
"Maternity Benefit for Women Beneficiaries",https://www.myscheme.gov.in/schemes/mbfwb,15
Maternity Benefit Scheme (APB&OCWWB),https://www.myscheme.gov.in/schemes/mbsapbandocwwb,15
Maternity Benefit Scheme (P.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mbspbocwwb,15
