scheme_name,scheme_url
Aama Kuni Pilaa,https://www.myscheme.gov.in/schemes/akpod
Aapki Beti Yojana,https://www.myscheme.gov.in/schemes/aby
Abhayakiranam Scheme-Financial Assistance To Destitute Widows,https://www.myscheme.gov.in/schemes/as-fadw
Additional Pension to Widow of Ex-Serviceman having Children,https://www.myscheme.gov.in/schemes/apwesmc
Additional Pension to Widow of Ex-Serviceman having No Child,https://www.myscheme.gov.in/schemes/apwesmnc
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,https://www.myscheme.gov.in/schemes/amptmsy
Anganwadi Workers Welfare Fund,https://www.myscheme.gov.in/schemes/awwfu
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,https://www.myscheme.gov.in/schemes/atnmasfogii
Asangathit Karmakaar Silai Machine Sahayata Yojana,https://www.myscheme.gov.in/schemes/aksmsy
Ashirbad: Scheme for Specially Cared Children,https://www.myscheme.gov.in/schemes/speciallycaredchildren
Ashirwad,https://www.myscheme.gov.in/schemes/asd
Assistance for Daughter's Marriage,https://www.myscheme.gov.in/schemes/afdm
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,https://www.myscheme.gov.in/schemes/admptpfdap
Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy,https://www.myscheme.gov.in/schemes/adcmptp
Assistance For Purchase of Aids/Appliances,https://www.myscheme.gov.in/schemes/afpoaa
Assistance Scheme for Handloom Spinning-Weaving Women Workers,https://www.myscheme.gov.in/schemes/ashswwwuk
Attendance Scholarship Scheme for Girl Students with Disabilities of Rural Areas,https://www.myscheme.gov.in/schemes/assgsdra
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,https://www.myscheme.gov.in/schemes/aocpscgs
"Awareness Programme on Child/Human Trafficking, Family Planning, Legal Awareness, Health etc.",https://www.myscheme.gov.in/schemes/apchtfplahe
Back-To-Lab Post-Doctoral Fellowship Programme,https://www.myscheme.gov.in/schemes/btlpdfp
Back-to-Lab Research Fellowship Programme,https://www.myscheme.gov.in/schemes/btlrfp
Bal Shakti Yojana,https://www.myscheme.gov.in/schemes/bsymp
Bal Swasthya Karyakram - Uttarakhand,https://www.myscheme.gov.in/schemes/chpuk
Balika Samrithi Yojana,https://www.myscheme.gov.in/schemes/bsy-pudu
BC & EBC Girls Residential +2 High School,https://www.myscheme.gov.in/schemes/bcebcgrhs
Bebe Nanki Laadli Beti Kalyan Scheme,https://www.myscheme.gov.in/schemes/bnlbks
Beti Hai Anmol Yojana,https://www.myscheme.gov.in/schemes/bhay
Bhagwan Budhdh Scholarship,https://www.myscheme.gov.in/schemes/bbs
Bhagyalaxmi Scheme,https://www.myscheme.gov.in/schemes/bys
Bharati Scheme for Education - 1st Class to 5th Class,https://www.myscheme.gov.in/schemes/bse
Bharati Scheme for Education - 6th Class to 10th Class,https://www.myscheme.gov.in/schemes/bse-6c10c
Bharati Scheme for Education - Graduation,https://www.myscheme.gov.in/schemes/bse-g
Bharati Scheme for Education - Intermediate or Equivalent,https://www.myscheme.gov.in/schemes/bse-ie
Bharati Scheme for Education - Post-Graduation,https://www.myscheme.gov.in/schemes/bse-pg
Bharati Scheme for Education - Professional Education Course,https://www.myscheme.gov.in/schemes/bse-pec
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,https://www.myscheme.gov.in/schemes/bsepec-cai
Bicycle Distribution Scheme for Girl Students of Economically Weaker Section,https://www.myscheme.gov.in/schemes/akvkckcvy
Biotechnology Career Advancement And Re-orientation (BioCARe) Programme For Women Scientists,https://www.myscheme.gov.in/schemes/biocare
CBSE Merit Scholarship Scheme For Single Girl Child,https://www.myscheme.gov.in/schemes/msssgc
Charmashilpa Scheme,https://www.myscheme.gov.in/schemes/cs
Chief Minister Ekal Nari Samman Pension Yojana,https://www.myscheme.gov.in/schemes/cmenspy
Chief Minister Kanya Utthan Yojana,https://www.myscheme.gov.in/schemes/cmkuy
Chief Minister Ladli Behna Yojana,https://www.myscheme.gov.in/schemes/cmlby
Chief Minister Nari Shakti Yojana,https://www.myscheme.gov.in/schemes/cmnsy
Chief Minister’s Girl Child Protection Scheme-I,https://www.myscheme.gov.in/schemes/cmgcpsi
